,,,,,,,,,,,,LIQUIDACION DE SUELDO,,,,,,,,,,,,,,,,,,,,,,,,,1
Corresponde al Mes:,,,,,,,,,,Diciembre,,,,2012,,,,,,,,,,,,,,,,Emitida:,,viernes 04 enero 2013,,,,,
,,,,Trabajador:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rut:,,,,,,17.748.081-9,,,,,,,,Telefono:,,,,,,,,,,,,,,,,Celular:,,123456778,,,,
,,,,,,,,,,,,,,,,,216582,,,,,,,,,,,,,,,,,,,,
,Nombre:,,,,,,mari,,,,,,,,Apellido Paterno:,,,,ferra,,,,,,,,,,,,Apellido Materno:,,,,carra,,
,,,,,,,,,,,,,,,Nacionalidad:,,,asdsa,,,,,,,,,,,,,Numero de Cargas:,,,,,2,
,Fecha Nacimiento:,,,,,,,,,,1992-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Email:,maria@gmail.com,,,,,,,,,,,,,,,,,,,,,
,Direccion:,,,,,,,,sadsad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Empresa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rut:,,,,7.906.993-0,,,,,,,,,,,,,,,,,Giro:,,,,Supermercado,,,,,,,,,,
,,Nombre:,,,,Juan Carlos Caceres y Cia,,,,,,,,,,,,,,,,,Telefono:,,,,,216582,,,,,,,,,
,Haberes Imponibles,,,,,,,,,,,,,,,,,,,Descuentos Previsionales,,,,,,,,,,,,,,,,,
, + Sueldo Base,,,,,,,,,,,,500000.00,,,,,,,, -,,,,Provida,,,,,,,,,76926.08,,,
, + Horas Extras,,,,,,,,,,,,62208.00,,,,,,,, -,,,,FONASA,,,,,,,,,46662.27,,,
, + Gratificación 25%,,,,,,,,,,,,76395.83,,,,,,, - Seguro de Cesantía,,,,,,,,,,,,,,15998.49,,,
, + Abo. Imponibles Tributables,,,,,,,,,,,,28000.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TOTAL DSCT. PREV,,,,,,,,,,,,,,139586.84,,,
, + Abo. Imponibles No Tributables,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Otros Haberes,,,,,,,,,,,,,,,,
,BASE IMPONIBLE,,,,,,,,,,,,666603.83,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, + Asignacion Familiar,,,,,,,,,,,,0.00,,,
,,,,,,,,,,,,,,,,,,,,,, + Abo. No Imp. No Tributables,,,,,,,,,,,,15000.00,,,
, + Abo. No Imponibles Tributables,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TOTAL Otros Haberes,,,,,,,,,,,,,15000.00,,,
,BASE TRIBUTABLE,,,,,,,,,,,,543015.48,,,,,,,,,,,,,,,,,,,,,,,,
, - Impuesto a Pagar,,,,,,,,,,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, - Anticipos u Otros Descuentos,,,,,,,,,,,55000.00,,,
,SUELDO DESPUES DE IMPTO.,,,,,,,,,,,,543006.10,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUELDO LÍQUIDO A PAGAR,,,,,,,,,,,,,,,,,,,,,503006.10,,,,,,,,,,,,,
,,,,Son:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,quinientos tres mil seis,,,,,,,,,,,,,,,,,,,,,"Recibí conforme el alcance líquido de la presente liquidación, no teniendo cargo o cobro alguno que hacer por otro concepto",,,,,,,,,,,
,,,,,,,,17.748.081-9,,,,,,,,,,,,,,,,,,,,,7.906.993-0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Carlos Caceres y Cia,,,,,,,,
